,first_prize,first_prize_size,prize_pool,resrult_bef1,resrult_bef2,resrult_bef3,resrult_bef4,resrult_bef5,resrult_beh1,resrult_beh2,result_day,result_num,second_prize,second_prize_size,total_bet_amount
78,"10,000,000",33,"6,358,353,641",12,19,20,22,28,2,6,2019/4/13,19041,"689,483",67,"278,194,830"
79,"10,000,000",11,"6,679,434,767",1,3,31,32,34,1,3,2019/4/10,19040,"685,657",70,"256,461,644"
80,"10,000,000",11,"6,835,874,898",1,12,18,26,35,6,12,2019/4/8,19039,"745,698",68,"258,620,074"
81,"10,000,000",3,"6,935,534,547",5,11,16,18,27,7,12,2019/4/6,19038,"457,972",98,"273,576,520"
82,"10,000,000",2,"6,957,878,947",6,16,26,33,35,4,8,2019/4/3,19037,"54,212",597,"259,744,189"
83,"10,000,000",3,"6,962,303,972",3,9,21,28,30,1,12,2019/4/1,19036,"447,761",100,"264,051,280"
84,"10,000,000",5,"6,990,724,180",1,3,5,7,18,8,9,2019/3/30,19035,"219,952",185,"278,976,389"
85,"10,000,000",2,"7,043,311,561",8,12,15,27,30,1,2,2019/3/27,19034,"443,242",102,"263,239,739"
86,"10,000,000",3,"7,046,359,233",1,2,4,16,24,7,9,2019/3/25,19033,"1,340,977",35,"259,583,444"
87,"10,000,000",2,"7,075,490,420",1,4,7,11,30,7,8,2019/3/23,19032,"490,476",86,"281,069,928"
88,"10,000,000",3,"7,087,941,067",3,8,21,26,33,4,5,2019/3/20,19031,"97,104",364,"258,941,467"
89,0,0,"7,130,547,449",7,9,13,14,33,2,4,2019/3/18,19030,"924,270",68,"259,512,014"
90,"10,000,000",1,"7,130,547,449",1,4,18,24,28,2,3,2019/3/16,19029,"868,859",67,"286,607,872"
91,0,0,"7,126,442,764",6,22,28,29,33,2,7,2019/3/13,19028,"1,146,099",59,"265,043,546"
92,"10,000,000",1,"7,126,442,764",16,18,24,25,27,2,7,2019/3/11,19027,"506,436",89,"258,310,439"
93,"10,000,000",7,"7,119,844,630",10,12,15,17,19,2,3,2019/3/9,19026,"296,197",125,"276,287,254"
94,"10,000,000",1,"7,214,723,367",6,13,16,19,29,3,7,2019/3/6,19025,"342,578",103,"254,293,562"
95,"10,000,000",5,"7,212,374,715",11,17,19,29,33,8,9,2019/3/4,19024,"414,991",79,"253,993,953"
96,"10,000,000",1,"7,266,412,331",1,3,14,26,30,6,11,2019/3/2,19023,"1,244,119",36,"271,045,330"
97,"10,000,000",3,"7,260,411,038",1,4,14,15,21,1,5,2019/2/27,19022,"690,336",67,"250,698,873"
98,"10,000,000",3,"7,281,471,244",7,13,17,24,33,1,10,2019/2/25,19021,"431,389",86,"246,282,617"
99,"10,000,000",4,"7,305,795,077",1,8,16,27,34,3,12,2019/2/23,19020,"56,048",633,"262,801,443"
100,"10,000,000",3,"7,344,326,745",4,11,19,25,32,1,2,2019/2/20,19019,"334,715",118,"240,747,642"
101,"10,000,000",2,"7,368,392,285",3,18,19,26,34,6,12,2019/2/18,19018,"125,429",84,"206,286,685"
102,"10,000,000",3,"7,345,788,306",1,5,7,22,25,3,4,2019/2/16,19017,"111,800",89,"224,354,188"
103,"10,000,000",2,"7,335,987,177",3,5,13,16,28,2,6,2019/2/13,19016,"285,331",38,"199,463,845"
104,"10,000,000",1,"7,318,529,721",2,5,10,13,30,4,6,2019/2/11,19015,"179,336",57,"200,905,382"
105,"10,000,000",3,"7,281,902,287",12,14,20,28,31,9,11,2019/2/2,19014,"85,181",113,"252,453,111"
106,"7,771,123",6,"7,261,573,924",8,10,15,17,18,1,8,2019/1/30,19013,"94,273",80,"209,355,520"
107,"7,293,176",5,"7,270,412,609",5,9,17,18,19,7,10,2019/1/28,19012,"38,914",144,"208,049,284"
108,"10,000,000",2,"7,282,068,516",4,12,13,16,17,4,9,2019/1/26,19011,"143,243",66,"229,215,164"
109,"10,000,000",2,"7,255,514,505",3,7,24,25,27,2,12,2019/1/23,19010,"249,760",42,"213,767,581"
110,0,0,"7,221,191,570",3,9,15,18,26,6,12,2019/1/21,19009,"81,098",106,"208,724,945"
111,"6,366,438",15,"7,175,235,779",3,8,17,20,24,6,11,2019/1/19,19008,"152,933",71,"235,369,276"
112,0,0,"7,231,975,347",3,12,16,29,32,1,5,2019/1/16,19007,"147,545",74,"212,856,147"
113,"8,889,205",3,"7,179,104,849",14,17,19,25,30,4,8,2019/1/14,19006,"73,858",89,"211,569,980"
114,"10,000,000",2,"7,179,285,216",21,26,27,29,34,5,6,2019/1/12,19005,"56,877",159,"226,883,398"
115,"6,339,208",11,"7,161,063,055",15,16,17,31,32,3,9,2019/1/9,19004,"48,698",156,"204,580,697"
116,0,0,"7,201,268,804",4,8,18,20,32,10,12,2019/1/7,19003,"208,522",47,"207,380,158"
117,"10,000,000",3,"7,151,049,695",2,7,14,22,31,1,7,2019/1/5,19002,"73,021",128,"225,241,300"
118,"10,000,000",3,"7,142,421,311",6,18,23,26,28,3,12,2019/1/2,19001,"198,774",52,"210,010,629"
119,"10,000,000",1,"7,118,917,925",14,22,23,26,30,3,5,2018/12/31,18154,"203,203",45,"211,659,213"
120,"10,000,000",2,"7,088,689,110",3,6,7,8,21,1,8,2018/12/29,18153,"129,621",81,"226,088,197"
121,0,0,"7,064,136,608",2,4,5,12,28,8,11,2018/12/26,18152,"165,467",54,"205,613,392"
122,"10,000,000",2,"7,018,219,322",4,8,18,29,30,3,7,2018/12/24,18151,"84,762",103,"207,291,663"
123,"10,000,000",1,"7,002,968,220",5,12,13,31,34,10,12,2018/12/22,18150,"222,053",56,"225,791,549"
124,"7,744,487",5,"6,956,714,763",1,7,10,11,20,3,6,2018/12/19,18149,"118,605",73,"207,515,954"
125,"8,411,469",6,"6,967,866,677",2,6,24,33,34,2,3,2018/12/17,18148,"74,522",154,"208,136,096"
126,0,0,"6,972,210,324",1,11,26,33,35,2,10,2018/12/15,18147,"303,491",38,"223,971,838"
127,0,0,"6,915,052,805",3,8,9,13,33,1,2,2018/12/12,18146,"168,531",59,"205,362,986"
128,"10,000,000",3,"6,863,931,453",9,18,29,31,33,6,11,2018/12/10,18145,"155,126",62,"203,937,312"
129,"6,993,911",7,"6,852,100,778",6,17,18,24,31,7,11,2018/12/8,18144,"49,772",167,"218,318,880"
130,0,0,"6,875,246,343",4,7,20,22,33,1,2,2018/12/5,18143,"311,374",34,"209,812,542"
131,"8,947,164",5,"6,821,793,738",19,24,28,29,34,10,11,2018/12/3,18142,"149,099",62,"209,733,653"
132,"8,326,917",7,"6,821,675,414",3,7,23,26,33,4,9,2018/12/1,18141,"115,479",86,"229,878,514"
133,"10,000,000",4,"6,827,035,600",1,6,8,12,15,3,4,2018/11/28,18140,"236,579",43,"214,669,161"
134,"8,554,761",4,"6,818,142,501",5,11,16,28,35,6,9,2018/11/26,18139,"146,124",57,"211,260,296"
135,"10,000,000",1,"6,820,616,434",1,23,24,28,33,4,5,2018/11/24,18138,"240,097",45,"235,550,538"
136,"10,000,000",1,"6,774,793,860",7,10,22,23,33,8,11,2018/11/21,18137,"88,777",103,"213,366,740"
137,"10,000,000",2,"6,745,147,509",3,11,12,19,21,5,11,2018/11/19,18136,"92,040",89,"211,832,625"
138,"10,000,000",2,"6,728,041,749",14,19,23,27,34,6,12,2018/11/17,18135,"370,365",32,"234,501,139"
139,"10,000,000",2,"6,685,696,823",4,5,19,31,35,2,12,2018/11/14,18134,"270,324",39,"216,189,491"
140,"7,330,640",9,"6,657,631,974",8,12,14,15,19,1,10,2018/11/12,18133,"208,470",52,"217,396,050"
141,"10,000,000",1,"6,678,376,013",3,16,22,23,27,1,4,2018/11/10,18132,"202,991",56,"239,163,144"
142,"10,000,000",1,"6,635,339,455",12,14,21,32,33,2,11,2018/11/7,18131,"225,327",49,"216,536,327"
143,"10,000,000",3,"6,590,885,413",3,4,16,18,25,1,11,2018/11/5,18130,"209,777",50,"217,325,653"
144,"7,175,014",7,"6,576,364,115",4,7,21,22,29,3,6,2018/11/3,18129,"76,600",112,"235,940,348"
145,"10,000,000",2,"6,594,664,860",11,12,14,16,26,8,9,2018/10/31,18128,"188,100",54,"220,324,605"
146,"10,000,000",3,"6,564,347,966",1,3,4,11,29,8,12,2018/10/29,18127,"137,148",75,"217,690,667"
147,"10,000,000",2,"6,554,917,405",11,13,15,21,27,5,6,2018/10/27,18126,"132,076",82,"237,550,025"
148,"8,680,527",5,"6,522,197,027",7,16,20,21,34,4,6,2018/10/24,18125,"123,236",80,"219,795,983"
149,"9,217,353",3,"6,524,154,322",8,10,12,19,20,10,11,2018/10/22,18124,"50,320",156,"216,443,708"
150,"8,116,254",6,"6,522,610,651",6,9,29,32,35,2,4,2018/10/20,18123,"109,271",91,"234,208,723"
151,"10,000,000",4,"6,530,054,426",8,9,21,30,31,5,12,2018/10/17,18122,"78,493",116,"214,571,833"
152,"10,000,000",2,"6,520,734,499",6,7,21,29,30,1,10,2018/10/15,18121,"105,372",91,"207,915,429"
153,"10,000,000",3,"6,502,829,135",21,22,25,27,30,8,9,2018/10/13,18120,"67,950",148,"234,821,953"
154,"8,385,832",5,"6,481,977,558",6,9,11,16,35,2,5,2018/10/10,18119,"157,655",56,"212,932,980"
155,"7,363,770",6,"6,485,845,808",4,5,14,21,34,6,9,2018/10/8,18118,"156,425",43,"211,508,812"
156,"6,746,812",8,"6,498,990,134",7,11,13,22,29,3,8,2018/10/6,18117,"66,007",104,"217,651,581"
157,"7,638,767",6,"6,524,536,540",1,14,17,21,33,7,10,2018/10/3,18116,"168,431",48,"182,177,791"
158,"7,251,127",5,"6,535,370,887",2,6,13,18,25,1,2,2018/10/1,18115,"63,538",118,"188,986,085"
159,"8,262,635",6,"6,552,450,316",12,18,26,28,29,5,6,2018/9/29,18114,"121,614",77,"224,148,934"
160,"10,000,000",1,"6,557,535,636",8,12,27,31,33,4,8,2018/9/26,18113,"132,991",68,"204,939,053"
161,"9,319,980",3,"6,521,875,291",3,7,8,9,29,9,10,2018/9/24,18112,"76,560",88,"193,514,083"
162,"10,000,000",3,"6,520,081,923",3,16,27,28,32,4,5,2018/9/22,18111,"212,799",48,"215,472,949"
163,"7,219,659",6,"6,499,010,024",6,19,21,27,28,3,11,2018/9/19,18110,"56,279",136,"199,222,858"
164,"9,587,170",3,"6,515,974,853",10,16,23,25,34,2,5,2018/9/17,18109,"234,571",37,"193,599,346"
165,"10,000,000",1,"6,512,454,344",9,10,24,31,32,7,12,2018/9/15,18108,"257,386",40,"214,909,384"
166,"8,520,138",5,"6,469,261,221",7,8,9,10,22,3,4,2018/9/12,18107,"102,992",84,"207,148,979"
167,"10,000,000",2,"6,472,172,226",4,14,17,24,31,1,4,2018/9/10,18106,"107,492",84,"204,182,024"
168,"10,000,000",3,"6,452,487,726",1,16,19,20,31,2,7,2018/9/8,18105,"170,599",62,"219,284,141"
169,"10,000,000",1,"6,430,739,174",1,13,14,26,28,7,11,2018/9/5,18104,"253,224",40,"203,640,357"
170,0,0,"6,391,571,458",14,24,26,28,35,2,3,2018/9/3,18103,"311,015",31,"202,609,595"
171,"10,000,000",2,"6,342,068,179",6,7,13,22,24,10,12,2018/9/1,18102,"145,812",71,"224,197,222"
172,"6,369,457",8,"6,308,725,026",3,14,15,23,29,4,5,2018/8/29,18101,"31,199",213,"198,499,936"
173,"8,691,899",4,"6,342,598,373",6,20,21,26,30,6,9,2018/8/27,18100,"179,521",42,"200,023,810"
174,"9,356,006",6,"6,343,983,973",12,13,16,20,21,1,7,2018/8/25,18099,"344,348",33,"222,690,897"
175,"8,366,389",5,"6,340,719,923",2,15,18,25,27,5,7,2018/8/22,18098,"145,237",54,"203,730,773"
176,"10,000,000",2,"6,344,726,748",10,12,14,18,23,1,4,2018/8/20,18097,"407,484",26,"205,831,161"
177,"10,000,000",3,"6,319,451,570",13,14,20,28,34,6,10,2018/8/18,18096,"137,285",67,"224,999,849"
178,"6,232,202",10,"6,304,083,968",7,14,18,29,35,5,12,2018/8/15,18095,"33,847",169,"201,899,050"
179,0,0,"6,342,519,469",11,16,25,30,34,8,10,2018/8/13,18094,"250,003",40,"204,437,453"
180,"10,000,000",2,"6,289,602,123",3,11,16,18,33,3,11,2018/8/11,18093,"133,969",71,"219,900,805"
181,"10,000,000",1,"6,271,921,898",5,7,14,18,19,4,10,2018/8/8,18092,"138,724",61,"203,960,013"
182,"10,000,000",2,"6,239,379,715",6,22,26,28,31,1,7,2018/8/6,18091,"200,300",50,"200,209,093"
183,"10,000,000",1,"6,215,638,458",6,20,24,33,34,4,11,2018/8/4,18090,"222,618",38,"214,323,707"
184,"10,000,000",3,"6,185,259,533",26,27,28,32,34,6,10,2018/8/1,18089,"43,376",188,"198,789,849"
185,"9,965,868",3,"6,175,967,288",8,9,21,25,33,1,8,2018/7/30,18088,"209,895",47,"201,070,776"
186,"10,000,000",3,"6,170,422,461",3,14,19,23,25,1,4,2018/7/28,18087,"185,287",60,"221,733,708"
187,"10,000,000",2,"6,147,152,397",16,22,24,29,31,4,5,2018/7/25,18086,"359,527",26,"202,039,886"
188,"9,772,486",4,"6,119,215,421",1,2,14,25,31,5,7,2018/7/23,18085,"203,649",48,"203,720,742"
189,0,0,"6,114,274,675",6,11,17,22,35,11,12,2018/7/21,18084,"170,820",60,"221,782,319"
190,"10,000,000",3,"6,060,893,274",7,12,25,27,28,10,11,2018/7/18,18083,"186,650",57,"203,396,776"
191,0,0,"6,046,964,394",1,2,14,17,18,8,10,2018/7/16,18082,"202,544",49,"202,664,331"
192,"10,000,000",1,"5,995,484,438",2,10,13,21,35,1,12,2018/7/14,18081,"153,574",74,"220,990,027"
193,"7,560,939",6,"5,956,453,500",7,16,24,26,31,10,11,2018/7/11,18080,"79,192",100,"200,930,992"
194,"6,597,056",9,"5,968,985,976",3,4,10,27,29,1,5,2018/7/9,18079,"53,079",150,"202,323,374"
195,"10,000,000",2,"5,999,253,266",7,11,12,22,30,3,6,2018/7/7,18078,"80,657",101,"218,580,534"
196,"10,000,000",1,"5,981,630,962",1,6,9,15,26,8,9,2018/7/4,18077,"122,792",69,"203,843,593"
197,"7,818,546",4,"5,950,663,010",7,18,28,29,32,6,8,2018/7/2,18076,"55,940",127,"199,580,156"
198,"10,000,000",1,"5,958,857,007",1,6,12,20,34,4,12,2018/6/30,18075,"165,012",80,"220,535,723"
199,"6,048,382",11,"5,909,727,592",3,9,12,28,30,4,12,2018/6/27,18074,"68,364",117,"199,597,596"
200,"7,758,350",5,"5,972,044,398",13,19,24,25,29,2,8,2018/6/25,18073,"67,694",118,"201,563,745"
201,"10,000,000",2,"5,981,278,505",5,12,17,24,26,1,2,2018/6/23,18072,"166,210",61,"224,650,873"
202,"10,000,000",1,"5,949,658,808",2,5,23,30,31,3,9,2018/6/20,18071,"266,396",33,"214,566,154"
203,"10,000,000",1,"5,919,039,404",2,5,10,16,30,4,7,2018/6/18,18070,"166,567",52,"211,903,935"
204,"10,000,000",3,"5,885,037,873",1,8,13,21,24,2,11,2018/6/16,18069,"304,461",35,"241,142,640"
205,"10,000,000",2,"5,874,936,454",8,12,16,26,33,5,6,2018/6/13,18068,"105,371",72,"196,468,042"
206,"10,000,000",1,"5,854,895,390",3,7,12,18,31,7,10,2018/6/11,18067,"139,612",67,"219,756,324"
207,"10,000,000",2,"5,813,704,069",1,20,23,32,33,1,4,2018/6/9,18066,"203,548",57,"239,793,134"
208,"10,000,000",3,"5,772,639,586",7,10,28,31,32,8,10,2018/6/6,18065,"75,369",119,"220,810,457"
209,0,0,"5,761,282,472",1,3,4,11,29,2,4,2018/6/4,18064,"160,419",65,"224,954,479"
210,"9,167,585",4,"5,705,403,010",5,14,15,32,34,3,10,2018/6/2,18063,"109,249",83,"245,622,727"
211,"10,000,000",1,"5,703,821,164",12,14,19,23,35,2,7,2018/5/30,18062,"196,831",54,"238,259,472"
212,"8,898,996",5,"5,653,787,525",4,10,12,28,31,8,11,2018/5/28,18061,"171,242",56,"237,450,953"
213,"10,000,000",2,"5,654,020,895",4,22,27,29,31,2,10,2018/5/26,18060,"226,490",55,"263,797,526"
214,"10,000,000",1,"5,611,696,366",1,9,10,27,35,6,11,2018/5/23,18059,"165,915",64,"242,609,804"
215,"10,000,000",1,"5,563,764,270",9,11,12,26,32,4,10,2018/5/21,18058,"68,635",117,"239,072,621"
216,"7,295,419",7,"5,533,435,106",13,19,22,27,28,5,6,2018/5/19,18057,"101,615",105,"263,782,813"
217,"10,000,000",1,"5,556,714,938",2,4,16,28,34,5,7,2018/5/16,18056,"160,241",66,"242,284,907"
218,"10,000,000",1,"5,505,823,357",3,7,20,33,34,9,10,2018/5/14,18055,"125,126",78,"247,382,161"
219,"6,617,083",13,"5,465,203,784",9,10,12,20,30,1,7,2018/5/12,18054,"91,172",122,"266,905,172"
220,0,0,"5,515,804,329",11,16,21,23,25,2,12,2018/5/9,18053,"252,575",49,"247,482,667"
221,"8,985,806",4,"5,447,819,442",5,16,18,19,25,2,7,2018/5/7,18052,"103,357",95,"240,438,756"
222,"10,000,000",2,"5,447,396,941",9,18,28,29,35,3,11,2018/5/5,18051,"130,027",79,"263,978,006"
223,"10,000,000",1,"5,422,293,094",22,24,26,34,35,6,12,2018/5/2,18050,"225,430",52,"241,836,897"
224,0,0,"5,368,233,194",4,7,9,10,13,6,12,2018/4/30,18049,"147,438",63,"230,788,528"
225,"10,000,000",3,"5,318,104,005",2,3,11,20,25,2,7,2018/4/28,18048,"204,437",56,"276,622,481"
226,"10,000,000",3,"5,293,491,487",3,8,10,14,20,4,8,2018/4/25,18047,"183,363",62,"258,398,718"
227,"7,630,443",7,"5,268,370,217",10,20,22,29,32,5,10,2018/4/23,18046,"196,032",55,"257,284,500"
228,"10,000,000",4,"5,283,900,535",2,5,20,30,35,5,9,2018/4/21,18045,"171,739",71,"283,210,997"
229,"10,000,000",2,"5,268,779,121",2,4,6,18,21,5,8,2018/4/18,18044,"86,924",111,"265,929,558"
230,"5,925,049",17,"5,239,147,674",3,6,13,28,33,4,11,2018/4/16,18043,"113,999",73,"256,568,992"
231,"5,684,224",19,"5,327,068,941",3,19,25,29,35,5,9,2018/4/14,18042,"65,084",122,"265,007,165"
232,"10,000,000",3,"5,445,163,138",1,23,25,31,33,1,12,2018/4/11,18041,"213,838",57,"253,422,570"
233,0,0,"5,411,665,761",5,7,18,27,31,1,8,2018/4/9,18040,"70,652",122,"211,513,034"
234,"10,000,000",2,"5,364,269,644",2,7,14,29,32,10,11,2018/4/7,18039,"109,752",84,"217,344,524"
